ID,Date,Mileage,Elevation,Activity-Type,Time,Location,Download_Available
189040,"10:01 AM on Thursday, August 31, 2023",124.50 mi,"2,523 ft",Wout van Aert – Ride,5:51:25,"Herentals, Belgium",Yes
189040,"8:23 AM on Thursday, August 31, 2023",3.85 mi,6:59 /mi,Wout van Aert – Run,26:55:00,"Herentals, Belgium",Yes
189040,"4:14 PM on Wednesday, August 30, 2023",44.86 mi,463 ft,Wout van Aert – Ride,1:41:19,"Herentals, Belgium",Yes
189040,"9:53 AM on Wednesday, August 30, 2023",62.51 mi,617 ft,Wout van Aert – Ride,2:40:57,"Herentals, Belgium",Yes
189040,"8:59 AM on Sunday, August 27, 2023",122.64 mi,"10,502 ft",Wout van Aert – Ride,6:06:25,"Érezée, Belgium",Yes
189040,"8:30 AM on Saturday, August 26, 2023",68.39 mi,"6,493 ft",Wout van Aert – Gravel Ride,3:20:53,"Houffalize, Belgium",Yes
189040,"8:04 AM on Saturday, August 26, 2023",4.66 mi,407 ft,Wout van Aert – Ride,15:37,"Houffalize, Belgium",Yes
189040,"10:18 AM on Friday, August 25, 2023",21.12 mi,"2,123 ft",Wout van Aert – Gravel Ride,1:23:16,"Érezée, Belgium",Yes
189040,"10:55 AM on Thursday, August 24, 2023",73.68 mi,"7,101 ft",Wout van Aert – Gravel Ride,4:24:39,"Houffalize, Belgium",Yes
189040,"7:52 AM on Thursday, August 24, 2023",2.84 mi,7:47 /mi,Wout van Aert – Run,22:06,"Érezée, Belgium",Yes
189040,"11:15 AM on Wednesday, August 23, 2023",38.46 mi,371 ft,Wout van Aert – Gravel Ride,1:54:52,"Herentals, Belgium",Yes
189040,"7:42 AM on Wednesday, August 23, 2023",5.46 mi,7:23 /mi,Wout van Aert – Run,40:17:00,"Herentals, Belgium",Yes
189040,"5:06 PM on Tuesday, August 22, 2023",32.18 mi,108 ft,Wout van Aert – Ride,1:14:34,"Herentals, Belgium",Yes
189040,"10:25 AM on Tuesday, August 22, 2023",77.44 mi,"1,739 ft",Wout van Aert – Ride,3:27:06,"Herentals, Belgium",Yes
189040,"10:29 AM on Monday, August 21, 2023",49.63 mi,531 ft,Wout van Aert – Ride,2:20:39,"Herentals, Belgium",Yes
189040,"10:09 AM on Sunday, August 20, 2023",91.97 mi,961 ft,Wout van Aert – Ride,4:06:53,"Herentals, Belgium",Yes
189040,"1:05 PM on Saturday, August 19, 2023",58.13 mi,531 ft,Wout van Aert – Ride,2:37:21,"Herentals, Belgium",Yes
189040,"9:31 AM on Friday, August 18, 2023",95.90 mi,715 ft,Wout van Aert – Gravel Ride,4:52:12,"Herentals, Belgium",Yes
189040,"5:16 PM on Thursday, August 17, 2023",7.86 mi,7:38 /mi,Wout van Aert – Run,1:00:01,"Herentals, Belgium",Yes
189040,"10:05 AM on Wednesday, August 16, 2023",46.04 mi,387 ft,Wout van Aert – Ride,2:12:45,"Herentals, Belgium",Yes
189040,"7:57 AM on Wednesday, August 16, 2023",3.36 mi,7:34 /mi,Wout van Aert – Run,25:27:00,"Herentals, Belgium",Yes
189040,"8:42 AM on Sunday, August 13, 2023",5.18 mi,7:23 /mi,Wout van Aert – Run,38:18:00,"Herentals, Belgium",Yes
189040,"3:40 PM on Friday, August 11, 2023",29.77 mi,965 ft,Wout van Aert – Ride,56:57:00,"Stirling, United Kingdom",Yes
189040,"9:31 AM on Friday, August 11, 2023",16.94 mi,"1,217 ft",Wout van Aert – Ride,48:11:00,"Stirling, United Kingdom",Yes
189040,"10:15 AM on Thursday, August 10, 2023",35.64 mi,"1,683 ft",Wout van Aert – Ride,1:30:02,"Stirling, United Kingdom",Yes
189040,"10:04 AM on Wednesday, August 9, 2023",50.02 mi,"1,693 ft",Wout van Aert – Ride,1:59:50,"Stirling, United Kingdom",Yes
189040,"9:06 AM on Tuesday, August 8, 2023",74.97 mi,"2,421 ft",Wout van Aert – Ride,2:57:53,"Stirling, United Kingdom",Yes
189040,"9:57 AM on Monday, August 7, 2023",38.70 mi,"2,605 ft",Wout van Aert – Ride,2:05:43,"Stirling, United Kingdom",Yes
189040,"9:30 AM on Sunday, August 6, 2023",168.64 mi,"11,107 ft",Wout van Aert – Ride,6:18:52,"City of Edinburgh, United Kingdom",Yes
189040,"10:09 AM on Saturday, August 5, 2023",34.56 mi,"1,529 ft",Wout van Aert – Ride,1:35:31,"Stirling, United Kingdom",Yes
